PTEN	ENSG00000171862
TNRC6B	ENSG00000100354
ATXN1L	ENSG00000224470
NUFIP2	ENSG00000108256
UBN2	ENSG00000157741
PURA	ENSG00000185129
TNRC6A	ENSG00000090905
TAOK1	ENSG00000160551
G3BP1	ENSG00000145907
MTF1	ENSG00000188786
RNF38	ENSG00000137075
KLHL15	ENSG00000174010
CFL2	ENSG00000165410
FBXO28	ENSG00000143756
UHMK1	ENSG00000152332
EXOC5	ENSG00000070367
BRWD3	ENSG00000165288
UBE2W	ENSG00000104343
SECISBP2L	ENSG00000138593
DICER1	ENSG00000100697
CLOCK	ENSG00000134852
AGFG1	ENSG00000173744
USP31	ENSG00000103404
RAB11FIP2	ENSG00000107560
SLC4A7	ENSG00000033867
REEP3	ENSG00000165476
SERBP1	ENSG00000142864
TMEM106B	ENSG00000106460
SOGA1	ENSG00000149639
TROVE2	ENSG00000116747
RPS6KA5	ENSG00000100784
ZBTB10	ENSG00000205189
SMAD5	ENSG00000113658
FXR1	ENSG00000114416
BRAF	ENSG00000157764
DCP1A	ENSG00000272886
SLC38A2	ENSG00000134294
LCOR	ENSG00000196233
ELK4	ENSG00000158711
MECP2	ENSG00000169057
ENPP4	ENSG00000001561
FAM160B1	ENSG00000151553
BRWD1	ENSG00000185658
E2F7	ENSG00000165891
ZBTB18	ENSG00000179456
ATXN1	ENSG00000124788
RAP1B	ENSG00000127314
ZNF367	ENSG00000165244
DCBLD2	ENSG00000057019
ZMAT3	ENSG00000172667
LARP4	ENSG00000161813
SYNCRIP	ENSG00000135316
PAFAH1B2	ENSG00000168092
HCFC2	ENSG00000111727
CYLD	ENSG00000083799
TNPO1	ENSG00000083312
BCL2L11	ENSG00000153094
YOD1	ENSG00000180667
ETNK1	ENSG00000139163
AGO1	ENSG00000092847
MINDY2	ENSG00000128923
KLHL42	ENSG00000087448
MIER3	ENSG00000155545
CBFB	ENSG00000067955
DYRK2	ENSG00000127334
CDK6	ENSG00000105810
CACUL1	ENSG00000151893
ANKIB1	ENSG00000001629
ARHGAP12	ENSG00000165322
DUT	ENSG00000128951
C5orf24	ENSG00000181904
SIX4	ENSG00000100625
STYX	ENSG00000198252
SEL1L3	ENSG00000091490
PHF12	ENSG00000109118
MDFIC	ENSG00000135272
JARID2	ENSG00000008083
RAP2C	ENSG00000123728
CSNK1A1	ENSG00000113712
GAN	ENSG00000261609
XIAP	ENSG00000101966
CAND1	ENSG00000111530
DYNC1LI2	ENSG00000135720
SMURF2	ENSG00000108854
UBE2K	ENSG00000078140
SOCS6	ENSG00000170677
MAPK6	ENSG00000069956
STOX2	ENSG00000173320
PPP1R15B	ENSG00000158615
DCP2	ENSG00000172795
MIGA1	ENSG00000180488
ACSL4	ENSG00000068366
PURB	ENSG00000146676
NFIA	ENSG00000162599
RAB8B	ENSG00000166128
ATF7	ENSG00000170653
KMT2A	ENSG00000118058
SOX4	ENSG00000124766
REST	ENSG00000084093
PLEKHB2	ENSG00000115762
BMPR2	ENSG00000204217
PDZD8	ENSG00000165650
RAB21	ENSG00000080371
TMOD3	ENSG00000138594
TNRC6C	ENSG00000078687
ATP11A	ENSG00000068650
CLIP1	ENSG00000130779
ARPP19	ENSG00000128989
SESN3	ENSG00000149212
FICD	ENSG00000198855
SERINC3	ENSG00000132824
FMR1	ENSG00000102081
FZD6	ENSG00000164930
BTBD7	ENSG00000277222
SLAIN1	ENSG00000139737
AGO3	ENSG00000126070
JMY	ENSG00000152409
EFR3A	ENSG00000132294
ZNF217	ENSG00000171940
RIF1	ENSG00000080345
GCC2	ENSG00000135968
G3BP2	ENSG00000138757
KATNAL1	ENSG00000102781
SMG1	ENSG00000157106
YTHDF1	ENSG00000149658
ZNF12	ENSG00000164631
INO80D	ENSG00000283510
PDCD10	ENSG00000114209
STK35	ENSG00000125834
PPTC7	ENSG00000196850
GRB10	ENSG00000106070
TWF1	ENSG00000151239
WEE1	ENSG00000166483
ZNF451	ENSG00000112200
CCNT2	ENSG00000082258
EDEM1	ENSG00000134109
WASL	ENSG00000106299
WNK1	ENSG00000060237
CPEB2	ENSG00000283087
CPD	ENSG00000108582
DDX3X	ENSG00000215301
RFX7	ENSG00000181827
GMFB	ENSG00000197045
RLIM	ENSG00000131263
SPRED1	ENSG00000166068
